Project Name,Name and Location,Latitude,Longitude,Project Type,Borough,Opening Date,Year,Image link,Body Text,Link Info
Henry Hudson Bridge,"Henry Hudson Bridge,Manhattan / Bronx, NYC",-73.922724,40.877406,Bridge,Manhattan / Bronx,,1936,https://upload.wikimedia.org/wikipedia/commons/c/cb/Manhattan_is_an_Island_-_Henry_Hudson_Bridge.jpg,"The Henry Hudson Bridge is a steel arch toll bridge in New York City across the Spuyten Duyvil Creek. It connects Spuyten Duyvil in the Bronx with Inwood in Manhattan to the south, via the Henry Hudson Parkway.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwjNybbf7vLTAhXks1QKHQpuCp8QmhMIlAEwEg&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FHenry_Hudson_Bridge&usg=AFQjCNHkRqPIY3w6mJ8yUs1SeyEsfCTtWQ
Triborough Bridge,"Triborough Bridge,Queens / Manhattan / Bronx, NYC",-73.927184,40.780535,Bridge,Queens / Manhattan / Bronx,7/11/1936,1936,http://toomuchglass.net/wp-content/gallery/tmg-2015/DSCF6621.jpg,"The Triborough Bridge, known officially as the Robert F. Kennedy Bridge since 2008, and sometimes referred to as the RFK Triborough Bridge, is a complex of three separate bridges in New York City.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwjh15Dq7vLTAhXBjlQKHaxaBp8QmhMImwEwEg&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FTriborough_Bridge&usg=AFQjCNHbw3yJ5JNYc5rwjCny88iKQyXnqw
Bronx-Whitestone Bridge,"Bronx-Whitestone Bridge,Queen / Bronx, NYC",-73.829932,40.801741,Bridge,Queens / Bronx,8/29/1939,1939,https://upload.wikimedia.org/wikipedia/commons/3/3e/Whitestone_Bridge_2007.jpg,"The Bronx–Whitestone Bridge is a suspension bridge in New York City that crosses the East River and connects the boroughs of Queens on Long Island, and the Bronx on the United States mainland via Interstate 678.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwiKuNGA7_LTAhXEv1QKHbe4BqIQmhMIkwEwEg&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FBronx%25E2%2580%2593Whitestone_Bridge&usg=AFQjCNFwyZrWZs3P5sGGBECxJwCtkXLivA
Throgs Neck Bridge,"Throgs Neck Bridge,Bronx / Queens, NYC",-73.793404,40.802467,Bridge,Bronx / Queens,1/11/1961,1961,http://www.baruch.cuny.edu/nycdata/Infrastructure/images/throgsneckbridge.jpg,"The Throgs Neck Bridge is a suspension bridge opened on January 11, 1961, which carries Interstate 295 over the East River where it meets the Long Island Sound.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwjxncaL7_LTAhXHsFQKHcbmAaAQmhMIngEwEg&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FThrogs_Neck_Bridge&usg=AFQjCNEycB7IfCiQciOh5Zg92k17vXIqag
Marine Parkway Gil Hodges Memorial Bridge,"Marine Parkway Gil Hodges Memorial Bridge,Brooklyn / Queens, NYC",-73.884858,40.573439,Bridge,Brooklyn / Queens,7/3/1937,1937,http://sie-demo.com.s151514.gridserver.com/wp-content/uploads/2015/02/Marine-Parkway-Gil-Hodges-Memorial-Bridge.jpg,"The Marine Parkway–Gil Hodges Memorial Bridge (originally and often referred to as the Marine Parkway Bridge) is a vertical-lift bridge in New York City, New York, that crosses Rockaway Inlet and connects the Rockaway Peninsula in Queens, with Flatbush Avenue to Floyd Bennett Field, Belt Parkway, and the Marine Park neighborhood in Brooklyn. Opened on July 3, 1937, it carries four motor traffic lanes, and a footpath on the western edge.[3] The center span is raised and lowered 100 times a year to allow vessels to pass beneath the roadway; it is 540 feet (160 m) long and is only 55 feet (17 m) above the water but can be lifted to a height of 150 feet above the water. Cyclepaths along both sides of the Parkway connect northward to Brooklyn. The operation of this bridge includes the maintenance of the Marine Parkway from the toll plaza to Jacob Riis Park. Though a city-owned and operated bridge, it connects two parts of Gateway National Recreation Area, a unit of the National Park System: Floyd Bennett Field and Jacob Riis Park. The bridge is designated as New York State Route 901B, an unsigned reference route.[4]

The bridge is owned by the City of New York and operated by the MTA Bridges and Tunnels, an affiliate agency of the Metropolitan Transportation Authority.

With its distinctive twin towers (which house the vertical-lift machinery), the bridge has become an iconic landmark and symbol of the Rockaways.[5]",https://en.wikipedia.org/wiki/Marine_Parkway%E2%80%93Gil_Hodges_Memorial_Bridge
Cross Bay Bridge,"Cross Bay Bridge, NYC",-73.8197592,40.5919427,Bridge,,,1939,http://photos.wikimapia.org/p/00/03/30/56/72_big.jpg,"The Cross Bay Veterans Memorial Bridge in New York City is a toll bridge that carries Cross Bay Boulevard from Broad Channel in Jamaica Bay to the Rockaway Peninsula, and is located in Queens.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=18&cad=rja&uact=8&ved=0ahUKEwj6n6iu7_LTAhXLi1QKHQ80BNgQmhMIlwEwEQ&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FCross_Bay_Veterans_Memorial_Bridge&usg=AFQjCNGe0gWXqj_Rw917cEbMfznzpOCahw
Central Park,"Central Park,Manhattan, NYC",-73.9653551,40.7828647,City Park,Manhattan,,1934,http://www.nycgo.com/images/venues/159/central-park-01-marley-white__x_large.jpg,"""When he took office as park commissioner in January 1934, along with La Guardia, most preservationists assumed that Central Park had been placed in the hands of an individual who shared their sentimental attachment to the park of their youth. They were wrong. Robert Moses, as it became clear, had little interest in the natural qualities of parks, nor did he see Central Park as a special kind of park. A product of the progressive playground movement, Moses viewed all parks as places for active, wholesome play, for ball fields, tennis courts, swimming pools, and playgrounds; he believed in recreation, not conservation. For him, Central Park was ""essentially a playground.""""",http://www.centralparkhistory.com/timeline/timeline_1930_newdeal.html
Prospect Park,"Prospect Park,Brooklyn, NYC",-73.9689558,40.6602037,City Park,Brooklyn,,1934,https://www.nycgovparks.org/photo_gallery/full_size/10315.jpg,"In January 1934, newly elected Mayor Fiorello La Guardia appointed Robert Moses commissioner of a unified parks department, a new organization that eliminated borough park commissioners. Moses would remain Park Commissioner for the next twenty-six years, leaving distinctive and controversial marks on all the city parks. Moses readily tapped federal monies made available to relieve Depression era unemployment. Prospect Park experienced a building boom during Moses's tenure, as the Bandshell, the Prospect Park Zoo, and five playgrounds were constructed.[15][26]

In 1959, the southern third of the Long Meadow was graded and fenced off for ballfields. The following year the Kate Wollman Skating Rink was built on a filled-in portion of Prospect Lake. The playgrounds, ballfields, and the skating rink reflected Moses' commitment to modernity and athletic recreation, coupled with only a limited appreciation of the park as a work of landscape architecture. The construction of the Wollman Rink caused the removal of Music Island and the panoramic view of the lake created by Olmstead and Vaux.[14] Many Moses era projects entailed the destruction of Olmsted and Vaux or neoclassical designs. The Dairy Farmhouse, Concert Grove House, Music Island, the Old Fashioned Flower Garden, many of the original rustic structures, the Thatched Shelter, the Model Yacht Club, and the Greenhouse Conservatories had all been lost to either accident or deliberate demolition by the time Moses left his Park Commission post in May 1960.

No park commissioner since Moses has been able to exercise the same degree of power, nor did the Park Commission remain as stable a position in the aftermath of his departure, with eight commissioners holding the office in the twenty years following. This instability, coupled with the 1970s city fiscal crisis, devastated the Parks department. Staffed by 6,000 personnel in 1960, the Parks department consisted of just 2,800 permanent and 1,500 temporary workers by 1980. Much of Prospect Park suffered soil erosion and lack of maintenance caused the landscape to deteriorate. By 1979, park attendance dropped to two million, the lowest recorded level in the history of the park.[15]",https://en.wikipedia.org/wiki/Prospect_Park_(Brooklyn)#Robert_Moses_and_Prospect_Park
Flushing Meadows Corona Park,"Flushing Meadows Corona Park,Queens, NYC",-73.840785,40.7397136,City Park,Queens,,1939,https://www.nycgovparks.org/photo_gallery/full_size/18044.jpg,"Flushing Meadows–Corona Park, often referred to as Flushing Meadows Park, or simply Flushing Meadows, is a public park in New York City.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwiL4Znb7_LTAhWLw1QKHYBDA54QmhMIoAEwEg&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FFlushing_Meadows%25E2%2580%2593Corona_Park&usg=AFQjCNEVmavQusQABRcCfTZ0_w5xkZ4VfA
Randalls Island,"Randalls Island,Manhattan, NYC",-73.9212858,40.7932271,City Park,Manhattan,,1934,https://media.timeout.com/images/102700372/image.jpg,"Randalls Island (also called Randall's Island) and Wards Island are conjoined islands, collectively called Randalls and Wards Islands, in the New York City borough of Manhattan,[1][2][3] separated from Manhattan by the Harlem River, from Queens by the East River and Hell Gate, and from the Bronx by the Bronx Kill. The two islands were formerly separate, with the channel between them, Little Hell Gate, being filled in by the early 1960s.[4]",https://en.wikipedia.org/wiki/Randalls_and_Wards_Islands
Wards Island,"Wards Island,Manhattan, NYC",-73.9212858,40.7932271,City Park,Manhattan,,1934,https://www.nycgovparks.org/photo_gallery/full_size/20057.jpg,"Randalls Island (also called Randall's Island) and Wards Island are conjoined islands, collectively called Randalls and Wards Islands, in the New York City borough of Manhattan,[1][2][3] separated from Manhattan by the Harlem River, from Queens by the East River and Hell Gate, and from the Bronx by the Bronx Kill. The two islands were formerly separate, with the channel between them, Little Hell Gate, being filled in by the early 1960s.[4]",https://en.wikipedia.org/wiki/Randalls_and_Wards_Islands
Willowbrook Park,"Willowbrook Park,Staten Island, NYC",-74.1581129,40.6005621,City Park,Staten Island,,1964,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Willowbrook_Park.jpg/1200px-Willowbrook_Park.jpg,"Willowbrook Park is a recreational park in Staten Island's neighborhood of Willowbrook. It is part of the Staten Island Greenbelt. The 164-acre public park provides baseball fields, a playground, and a pond. A carousel was opened in 1999.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=19&cad=rja&uact=8&ved=0ahUKEwjkt4367_LTAhUJiVQKHaHLDaEQmhMImQEwEg&url=http%3A%2F%2Fen.wikipedia.org%2Fwiki%2FWillowbrook_Park&usg=AFQjCNG77x3Lpi2H77mGHSKDOBnEcPHpYg
Wolfes Pond Park,"Wolfes Pond Park,Staten Island, NYC",-74.1939353,40.5228688,City Park,Staten Island,,1933,https://www.nycgovparks.org/photo_gallery/full_size/21445.jpg,"As one of Staten Island's largest parks, Wolfe's Pond Park wears many different hats.  To some, it is a beautiful beach.  To others, it is a wildlife and plant preserve.  To still others, it is a recreation area with space to run, jump, and climb.  Choose Wolfe's Pond Park, and choose your own adventure!",https://www.nycgovparks.org/parks/wolfes-pond-park
Great Kills Park,"Great Kills Park,Staten Island, NYC",-74.1238028,40.5462096,City Park,Staten Island,,1949,https://www.nycgovparks.org/photo_gallery/full_size/21425.jpg,"Great Kills Park is known for its four beaches: New Dorp Beach; Cedar Grove Beach; Oakwood Beach; and Fox Beach. One of the four, New Dorp Beach, was once the home of the second permanent European settlement in Staten Island. Today, these beaches and wetlands help fight against erosion and flooding in nearby neighborhoods.",https://www.nycgovparks.org/parks/great-kills-park/
Clove Lakes Park,"Clove Lakes Park,Staten Island, NYC",-74.1139197,40.6185784,City Park,Staten Island,,1934,https://www.nycgovparks.org/photo_gallery/full_size/10122.jpg,"A protected Forever Wild site because of its valuable ecological assets, Clove Lakes Park has a rich natural history and a few remnants of the past that remain and continue to thrill visitors. Chief among them are the park's lakes and ponds, outcroppings of serpentine rocks, and Staten Island's largest living things, a three hundred year-old tulip tree. 

Besides strolling down trails and paddling on its bodies of water to appreciate its beauty, visitors can also experience the park as a more modern recreation zone. Several baseball diamonds, a soccer field, basketball court, playgrounds, and football field dot the park's landscape. Then, of course, there's the Staten Island War Memorial Ice Skating Rink, an outdoor rink located in what could be called the ""active"" part of the park, close to its other fields and courts.",https://www.nycgovparks.org/parks/clove-lakes-park
Silver Lake Park,"Silver Lake Park,Staten Island, NYC",-74.093256,40.6276662,City Park,Staten Island,,1928,https://www.nycgovparks.org/photo_gallery/full_size/10184.jpg,"Originally created as Staten Island’s response to Manhattan’s Central Park and Brooklyn’s Prospect Park, Silver Lake Park provides abundant recreational activities amidst plenty of trails and open space to wander. It was at the turn of the last century when Staten Island secured funds and began developing the park, and it continues to flourish more than a century later, complete with an 18-hole golf course, tennis courts, sports fields, and many other facilities.",https://www.nycgovparks.org/parks/silver-lake-park
Dyker Beach Park,"Dyker Beach Park,Brooklyn, NYC",-74.0195167,40.6058809,City Park,Brooklyn,,1934,http://www.thegolfcourseguru.com/wp-content/uploads/2012/04/photo.jpg,"Assembled from eight pieces of land over the course of forty years, Dyker Beach Park has developed into a lively park that serves the varied needs of its diverse community. 

As one of the two Brooklyn City parks with a golf course, Dyker Beach Park is a popular destination for those wishing to hit the links.  Soon, younger golf fans will get their own course, a first for the city.  The future CityParks Junior Golf Center, a kids-only six-hole course, driving range, and practice facility with free golf instruction, is expected to open this spring.",https://www.nycgovparks.org/parks/dyker-beach-park
Canarsie Beach Park,"Canarsie Beach Park,Brooklyn, NYC",-73.8868028,40.6287153,City Park,Brooklyn,,1958,https://upload.wikimedia.org/wikipedia/commons/c/cd/Canarsie_Pier_jeh.JPG,"Canarsie Park and neighborhood take their name from the Canarsie (or Canarsee) Indians, who lived in western Long Island and were related to the Delawares. They called this area Keskachauge or Kestateuw, but the Dutch renamed it New Amersfoort soon after they settled here in the 1630s. The Canarsie Indians probably had a burial ground on the current parkland.",https://www.nycgovparks.org/parks/canarsie-park
Spring Creek Park,"Spring Creek Park,Brooklyn, NYC",-73.8492576,40.6507601,City Park,Brooklyn,,1938,https://www.nycgovparks.org/photo_gallery/full_size/10318.jpg,"Spring Creek Park is located in Northern Jamaica Bay and contains the largest amount of undeveloped land and wetlands in the northern Jamaica Bay area. The name Jamaica comes from the area's first inhabitants, the Jameco, or Yamecah Native Americans, whose name is Algonquin for beaver. The Jameco lived on the northern shore of Jamaica Bay and along Beaver Stream and Beaver Pond (filled in in 1906). Jamaica Bay is a shallow tidal wetland of about 20 square miles in area, located between Brooklyn and Queens. It consists of grassy marshes sheltered from the Atlantic Ocean by the Rockaway Peninsula. The bay contains many islands, but only the largest, Broad Channel, is inhabited. The northern half of the island contains the Jamaica Bay Wildlife Refuge, which has two freshwater ponds and is host to a large number of shorebirds.",https://www.nycgovparks.org/parks/spring-creek-park-b165
Prospect Park Zoo,"Prospect Park Zoo,Brooklyn, NYC",-73.9654138,40.6653747,City Park,Brooklyn,,1935,http://0.tqn.com/d/gonyc/1/0/A/e/prospect_park_zoo.JPG,"The Prospect Park Zoo is a 12-acre zoo located off Flatbush Avenue on the eastern side of Prospect Park, Brooklyn, New York City. Its precursor, the Menagerie, opened in 1890",https://en.wikipedia.org/wiki/Prospect_Park_Zoo
Prospect Park Bandshell,"Prospect Park Band Shell,Brooklyn, NYC",-73.9765377,40.6633788,City Park,Brooklyn,,1959,https://bernardsiregar.files.wordpress.com/2013/03/prospect-park-bandshell.jpg,"Prospect Park was designed by Frederick Law Olmsted and Calvert Vaux after their completion of Manhattan's Central Park. Main attractions of the park include the 90-acre (36 ha) Long Meadow; the Picnic House; Litchfield Villa, the pre-existing home of Edwin Clark Litchfield, an early developer of the neighborhood and a former owner of a southern section of the Park;[5] Prospect Park Zoo; a large nature conservancy managed by the Wildlife Conservation Society; The Boathouse, housing a visitors center and the first urban Audubon Center;[6] Brooklyn's only lake, covering 60 acres (24 ha); the Prospect Park Bandshell that hosts free outdoor concerts in the summertime. The park also has sports facilities including seven baseball fields in the Long Meadow, and the Prospect Park Tennis Center, basketball courts, baseball fields, soccer fields, and the New York Pétanque Club in the Parade Ground. There is also a private Society of Friends cemetery on Quaker Hill near the ball fields, where actor Montgomery Clift is interred.",https://en.wikipedia.org/wiki/Prospect_Park_(Brooklyn)
Prospect Park Baseball Diamonds,"Prospect Park Baseball Diamonds,Brooklyn, NYC",-73.9747813,40.6608656,City Park,Brooklyn,,1959,http://goestotwelve.com/wp-content/uploads/2010/05/IMG_8013.jpg,"Prospect Park was designed by Frederick Law Olmsted and Calvert Vaux after their completion of Manhattan's Central Park. Main attractions of the park include the 90-acre (36 ha) Long Meadow; the Picnic House; Litchfield Villa, the pre-existing home of Edwin Clark Litchfield, an early developer of the neighborhood and a former owner of a southern section of the Park;[5] Prospect Park Zoo; a large nature conservancy managed by the Wildlife Conservation Society; The Boathouse, housing a visitors center and the first urban Audubon Center;[6] Brooklyn's only lake, covering 60 acres (24 ha); the Prospect Park Bandshell that hosts free outdoor concerts in the summertime. The park also has sports facilities including seven baseball fields in the Long Meadow, and the Prospect Park Tennis Center, basketball courts, baseball fields, soccer fields, and the New York Pétanque Club in the Parade Ground. There is also a private Society of Friends cemetery on Quaker Hill near the ball fields, where actor Montgomery Clift is interred.",https://www.nycgovparks.org/parks/prospect-park/facilities/baseball
Prospect Park Wollman Rink,"Prospect Park Wollman Rink,Brooklyn, NYC",-73.9641611,40.6572752,City Park,Brooklyn,,1961,http://assets.nydailynews.com/polopoly_fs/1.1551050.1387332092!/img/httpImage/image.jpg_gen/derivatives/article_750/lakeside18k-3-web.jpg,"The facility, including rinks, snack bar and Bluestone Café, may be utilized at other times for special events, private functions, classes or programmed activities, and/or rink rentals.",https://www.nycgovparks.org/facilities/iceskating/2
Forest Park,"Forest Park,Queens, NYC",-73.8492576,40.7026774,City Park,Queens,,1935,https://www.nycgovparks.org/photo_gallery/full_size/9990.jpg,"A mix of natural treasures and man-made prizes, Forest Park is 500+ acres of options for visitors.

With a “knob and kettle” terrain (a series of small hills) and 165 acres of trees, the park is an agrarian delight. Park goers interested in exploring Forest Park’s natural settings firsthand often travel to its eastern portion, which abounds in hiking trails and bridle paths. Horses can be hired from a private stable in order to cover more ground from a higher perspective.

Heading west, Forest Park transforms into an athlete’s playground. Softball, baseball, tennis, bocce, handball, and golf are a few of your options when you wander through this portion of the park. The 110-acre, par 67 golf course was modeled after Scottish links and maintains its reputation as one of the City’s most challenging golf courses. ",https://www.nycgovparks.org/parks/forest-park
Brookville Park,"Brookville Park,Queens, NYC",-73.7429353,40.6628935,City Park,Queens,,1936,https://www.nycgovparks.org/photo_gallery/full_size/18717.jpg,"Park with basketball, tennis, bocce & baseball areas, a playground, picnic tables & hike/bike paths.",https://www.nycgovparks.org/parks/brookville-park
Baisley Pond Park,"Baisley Pond Park,Queens, NYC",-73.786025,40.6737751,City Park,Queens,,1935,https://www.nycgovparks.org/photo_gallery/full_size/10028.jpg,"No matter what you expect from your park, whether it's a place to play tennis, handball, basketball, and cricket; space to run, bike, and rollerblade; playgrounds for your child's enjoyment; peaceful, shady alcoves for picnicking; or an urban natural habitat for your personal study of plant and animal life, there's a good chance you can find your niche at Baisley Park.

A happy new discovery for the thousands who attend its Southern Queens Gospel Fest and puppet shows each summer, the parkland has a history dating back tens of thousands of years.  In fact, while dredging the bottom of Baisley Pond shortly after its acquisition in the late 1800s, Brooklyn city workers unearthed the remains of an American Mastodon (Mammut Americanum), including five molars and a bone fragment, buried in the sediment.  The Mastodon likely lived here after the retreat of the ice from Long Island approximately 10,000 years ago!  Today, a sculpture of a mastodon in Sutphin Playground commemorates the discovery and makes for a unique playmate.",https://www.nycgovparks.org/parks/baisley-pond-park
Juniper Valley Park,"Juniper Valley Park,Queens, NYC",-73.8811576,40.7202987,City Park,Queens,,1937,https://www.nycgovparks.org/photo_gallery/full_size/1381.jpg,"One of Queens’s most beloved parks, Juniper Valley Park is an integral part of its Middle Village neighborhood. Locals come to spend time with old friends and neighbors while groups gather  to take full advantage of the tennis, handball, and basketball courts. A shuffleboard court is much beloved by the area's older members, and the bocce courts are always busy, a legacy of the neighborhood's active Italian community.",https://www.nycgovparks.org/parks/juniper-valley-park
Astoria Park,"Astoria Park,Queens, NYC",-73.9215888,40.7796684,City Park,Queens,,1936,https://www.nycgovparks.org/photo_gallery/full_size/9996.jpg,"Although widely known for its beautiful pool, the oldest and largest in the city, Astoria Park offers more than aquatic pleasures. Outdoor tennis courts, a track, a bandstand, multiple trails, basketball courts, and playgrounds lure visitors from the five boroughs and beyond. And the views!  Sitting on the edge of the East River and resting between the Triborough Bridge and Hell Gate Bridge, the park offers shoreline sights and sounds that make the benches along its perimeter popular spots year-round.",https://www.nycgovparks.org/parks/astoria-park
Cunningham Park,"Cunningham Park,Queens, NYC",-73.7742339,40.7291208,City Park,Queens,,1934,https://www.nycgovparks.org/photo_gallery/full_size/23037.jpg,"Culture, sports, nature... and fun! All of these things abound in Cunningham Park, one of the largest parks in Queens.  Assembled between 1928 and 1944 and named Cunningham Park in 1934, the space has developed into headquarters for countless athletic leagues, animals, playmates, and barbecue enthusiasts.  

Pick a pleasure and begin your explorations today!",https://www.nycgovparks.org/parks/cunningham-park
Alley Pond Park,"Alley Pond Park,Queens, NYC",-73.7384341,40.7423947,City Park,Queens,,1935,https://www.nycgovparks.org/photo_gallery/full_size/22984.jpg,"Alley Pond Park offers glimpses into New York’s geologic past, its colonial history, and its current conservation efforts. Because of its glacier-formed moraine, the park has numerous unique natural features, like its freshwater and saltwater wetlands, tidal flats, meadows, and forests, which create a diverse ecosystem and support abundant bird life.

The park is also home to New York City's first public high ropes adventure course (the largest in the Northeast), part of the Urban Park Rangers' larger Alley Pond Park Adventure program. A low–cost outdoor education and adventure program, Alley Pond Park Adventure teaches participants how to canoe, use a compass, fish, and enjoy a natural setting without leaving NYC.

To top it off, Alley Pond Park has all the amenities you'd expect from a neighborhood park--playgrounds, barbeque areas, and courts and fields galore!",https://www.nycgovparks.org/parks/alley-pond-park
